contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260130C00648000,2025-12-26 16:57:59+00:00,648.0,46.45,43.6,44.09,0.0,0.0,3.0,177,0.23834990173339843,True,REGULAR,USD
SPY260130C00649000,2025-12-18 20:54:34+00:00,649.0,35.02,42.6,43.11,0.0,0.0,1.0,115,0.23484041534423827,True,REGULAR,USD
SPY260130C00650000,2025-12-29 16:47:42+00:00,650.0,41.61,41.76,42.17,-2.7999992,-6.304885,17.0,1809,0.23203282623291016,True,REGULAR,USD
SPY260130C00651000,2025-12-26 18:23:26+00:00,651.0,43.23,40.76,41.26,0.0,0.0,6.0,54,0.2296524789428711,True,REGULAR,USD
SPY260130C00652000,2025-12-29 15:03:38+00:00,652.0,40.42,39.91,40.37,-1.7300034,-4.104397,2.0,223,0.2275773043823242,True,REGULAR,USD
SPY260130C00653000,2025-12-26 19:01:05+00:00,653.0,41.94,38.92,39.41,0.0,0.0,9.0,106,0.22431195617675775,True,REGULAR,USD
SPY260130C00654000,2025-12-23 18:38:29+00:00,654.0,39.39,38.01,38.43,0.0,0.0,1.0,105,0.22071091796874998,True,REGULAR,USD
SPY260130C00655000,2025-12-26 20:39:39+00:00,655.0,37.5,37.21,37.58,-2.8100014,-6.970978,4.0,525,0.21915453704833981,True,REGULAR,USD
SPY260130C00656000,2025-12-26 15:00:31+00:00,656.0,40.08,36.2,36.67,0.0,0.0,1.0,250,0.21659108612060546,True,REGULAR,USD
SPY260130C00657000,2025-12-24 17:16:59+00:00,657.0,39.17,35.36,35.8,0.0,0.0,11.0,173,0.21460746337890624,True,REGULAR,USD
SPY260130C00658000,2025-12-29 15:23:00+00:00,658.0,35.15,34.4,34.79,-2.0999985,-5.63758,1.0,138,0.21036556243896481,True,REGULAR,USD
SPY260130C00659000,2025-12-26 18:10:57+00:00,659.0,36.22,33.59,33.99,0.0,0.0,1.0,48,0.2093584924316406,True,REGULAR,USD
SPY260130C00660000,2025-12-29 16:44:45+00:00,660.0,32.44,32.65,32.97,-3.2800026,-9.182537,13.0,1157,0.2049334878540039,True,REGULAR,USD
SPY260130C00661000,2025-12-24 15:59:02+00:00,661.0,34.6,31.77,32.16,0.0,0.0,1.0,283,0.20365176239013671,True,REGULAR,USD
SPY260130C00662000,2025-12-26 15:29:24+00:00,662.0,34.09,30.87,31.23,0.0,0.0,1.0,291,0.20047796600341794,True,REGULAR,USD
SPY260130C00663000,2025-12-29 16:50:59+00:00,663.0,30.05,30.02,30.34,-2.6000023,-7.9632535,4.0,218,0.19788399780273438,True,REGULAR,USD
SPY260130C00664000,2025-12-26 20:27:07+00:00,664.0,29.84,29.16,29.45,-2.1800003,-6.8082457,1.0,153,0.19519847778320312,True,REGULAR,USD
SPY260130C00665000,2025-12-29 16:05:39+00:00,665.0,28.41,28.31,28.56,-2.7299995,-8.766857,24.0,1216,0.19248244049072266,True,REGULAR,USD
SPY260130C00666000,2025-12-26 19:58:43+00:00,666.0,30.26,27.45,27.83,0.0,0.0,5.0,219,0.19196364685058598,True,REGULAR,USD
SPY260130C00667000,2025-12-23 18:21:23+00:00,667.0,28.0,26.55,26.86,0.0,0.0,1.0,438,0.18796588409423826,True,REGULAR,USD
SPY260130C00668000,2025-12-29 16:46:55+00:00,668.0,25.72,25.77,26.12,-2.3900013,-8.502316,2.0,51,0.1871114004516602,True,REGULAR,USD
SPY260130C00669000,2025-12-29 14:48:04+00:00,669.0,25.74,24.86,25.15,-2.2700005,-8.10425,1.0,200,0.1830220858764648,True,REGULAR,USD
SPY260130C00670000,2025-12-29 15:35:11+00:00,670.0,25.04,24.1,24.33,-1.8499985,-6.8798757,19.0,1021,0.18091639404296872,True,REGULAR,USD
SPY260130C00671000,2025-12-29 16:11:34+00:00,671.0,23.4,23.27,23.52,-2.6000004,-10.000001,2.0,251,0.17884121948242188,True,REGULAR,USD
SPY260130C00672000,2025-12-29 14:33:07+00:00,672.0,23.26,22.43,22.68,-2.7399998,-10.538461,6.0,138,0.17630828582763675,True,REGULAR,USD
SPY260130C00673000,2025-12-26 20:28:26+00:00,673.0,24.28,21.59,21.87,0.0,0.0,12.0,239,0.17408052490234377,True,REGULAR,USD
SPY260130C00674000,2025-12-29 16:09:20+00:00,674.0,20.94,20.82,21.07,-2.5299988,-10.779714,1.0,158,0.17188328125000002,True,REGULAR,USD
SPY260130C00675000,2025-12-29 16:48:23+00:00,675.0,20.01,20.02,20.28,-2.8099995,-12.313757,26.0,3034,0.1697165548706055,True,REGULAR,USD
SPY260130C00676000,2025-12-29 16:43:23+00:00,676.0,19.06,19.26,19.48,-3.4800014,-15.439225,7.0,357,0.16730569030761722,True,REGULAR,USD
SPY260130C00677000,2025-12-26 20:21:46+00:00,677.0,19.26,18.45,18.71,-1.6999989,-8.110682,1.0,509,0.1651999984741211,True,REGULAR,USD
SPY260130C00678000,2025-12-29 16:45:43+00:00,678.0,17.7,17.69,17.97,-2.4399986,-12.115188,16.0,640,0.163368962097168,True,REGULAR,USD
SPY260130C00679000,2025-12-29 15:51:04+00:00,679.0,17.0,17.0,17.22,-2.4300003,-12.506434,69.0,778,0.16126327026367188,True,REGULAR,USD
SPY260130C00680000,2025-12-29 16:42:15+00:00,680.0,16.02,16.26,16.44,-2.4699993,-13.358569,140.0,3423,0.15869981933593752,True,REGULAR,USD
SPY260130C00681000,2025-12-29 15:23:29+00:00,681.0,16.05,15.52,15.74,-1.8100014,-10.134386,10.0,979,0.15699085205078128,True,REGULAR,USD
SPY260130C00682000,2025-12-29 15:26:04+00:00,682.0,15.5,14.77,14.98,-1.6900005,-9.831301,20.0,1180,0.1544121424865723,True,REGULAR,USD
SPY260130C00683000,2025-12-29 15:07:10+00:00,683.0,14.28,14.1,14.31,-1.79,-11.138768,6.0,1023,0.1528099856567383,True,REGULAR,USD
SPY260130C00684000,2025-12-29 16:50:37+00:00,684.0,13.44,13.41,13.6,-2.1900005,-14.01152,81.0,1153,0.15058222473144534,True,REGULAR,USD
SPY260130C00685000,2025-12-29 16:49:35+00:00,685.0,12.68,12.8,12.88,-2.3199997,-15.466664,1599.0,3144,0.1480798083496094,True,REGULAR,USD
SPY260130C00686000,2025-12-29 16:42:07+00:00,686.0,11.9,12.11,12.18,-2.38,-16.666668,47.0,1257,0.1456994610595703,True,REGULAR,USD
SPY260130C00687000,2025-12-29 16:53:49+00:00,687.0,11.5,11.48,11.55,-2.13,-15.627294,288.0,661,0.14399049377441403,False,REGULAR,USD
SPY260130C00688000,2025-12-29 16:56:14+00:00,688.0,10.86,10.87,10.9,-2.0600004,-15.944276,206.0,530,0.14188480194091796,False,REGULAR,USD
SPY260130C00689000,2025-12-29 16:49:34+00:00,689.0,10.16,10.29,10.31,-2.1599998,-17.532467,172.0,672,0.1403284210205078,False,REGULAR,USD
SPY260130C00690000,2025-12-29 16:56:32+00:00,690.0,9.7,9.67,9.7,-1.8200006,-15.798615,948.0,3683,0.13834479827880858,False,REGULAR,USD
SPY260130C00691000,2025-12-29 16:51:51+00:00,691.0,9.05,9.12,9.14,-1.8699999,-17.12454,104.0,628,0.1368189346313477,False,REGULAR,USD
SPY260130C00692000,2025-12-29 16:43:54+00:00,692.0,8.37,8.54,8.56,-2.0500002,-19.673706,137.0,1963,0.13483531188964848,False,REGULAR,USD
SPY260130C00693000,2025-12-29 16:11:20+00:00,693.0,8.02,8.01,8.03,-1.7299995,-17.743586,97.0,684,0.13329418960571288,False,REGULAR,USD
SPY260130C00694000,2025-12-29 15:59:07+00:00,694.0,7.67,7.48,7.51,-1.5,-16.357689,61.0,906,0.1316615155029297,False,REGULAR,USD
SPY260130C00695000,2025-12-29 16:54:06+00:00,695.0,7.0,6.99,7.01,-1.6400003,-18.981483,718.0,1310,0.13008987594604488,False,REGULAR,USD
SPY260130C00696000,2025-12-29 16:49:34+00:00,696.0,6.43,6.52,6.55,-1.69,-20.812809,67.0,790,0.1288234091186523,False,REGULAR,USD
SPY260130C00697000,2025-12-29 16:49:16+00:00,697.0,5.98,6.05,6.07,-1.5799999,-20.899471,48.0,1279,0.12705340728759767,False,REGULAR,USD
SPY260130C00698000,2025-12-29 16:55:09+00:00,698.0,5.64,5.62,5.65,-1.4700003,-20.67511,25.0,4876,0.12586323364257812,False,REGULAR,USD
SPY260130C00699000,2025-12-29 16:49:35+00:00,699.0,5.13,5.2,5.22,-1.4099998,-21.559631,59.0,997,0.12430685272216799,False,REGULAR,USD
SPY260130C00700000,2025-12-29 16:45:59+00:00,700.0,4.78,4.82,4.84,-1.3699999,-22.27642,1133.0,9021,0.1231929722595215,False,REGULAR,USD
SPY260130C00701000,2025-12-29 16:49:35+00:00,701.0,4.38,4.44,4.46,-1.4099998,-24.35233,83.0,747,0.12183495361328125,False,REGULAR,USD
SPY260130C00702000,2025-12-29 16:49:34+00:00,702.0,4.03,4.08,4.1,-1.2799997,-24.105455,320.0,1264,0.12052271087646485,False,REGULAR,USD
SPY260130C00703000,2025-12-29 16:49:35+00:00,703.0,3.7,3.76,3.78,-1.2299998,-24.949286,70.0,1675,0.11957667541503905,False,REGULAR,USD
SPY260130C00704000,2025-12-29 16:50:41+00:00,704.0,3.4,3.45,3.47,-1.1399999,-25.110128,23.0,1480,0.1185085708618164,False,REGULAR,USD
SPY260130C00705000,2025-12-29 16:50:32+00:00,705.0,3.11,3.15,3.17,-1.0899999,-25.952381,530.0,3170,0.1173489144897461,False,REGULAR,USD
SPY260130C00706000,2025-12-29 16:49:35+00:00,706.0,2.84,2.88,2.9,-1.0600002,-27.179491,85.0,869,0.11640287902832032,False,REGULAR,USD
SPY260130C00707000,2025-12-29 16:15:10+00:00,707.0,2.69,2.64,2.65,-0.91999984,-25.48476,12.0,604,0.11551787811279299,False,REGULAR,USD
SPY260130C00708000,2025-12-29 16:42:08+00:00,708.0,2.33,2.4,2.41,-0.97,-29.39394,56.0,989,0.1145718426513672,False,REGULAR,USD
SPY260130C00709000,2025-12-29 16:49:20+00:00,709.0,2.16,2.19,2.2,-0.8599999,-28.476818,29.0,985,0.11390046264648437,False,REGULAR,USD
SPY260130C00710000,2025-12-29 16:54:05+00:00,710.0,1.99,1.99,2.0,-0.74,-27.106226,724.0,2896,0.11316804809570313,False,REGULAR,USD
