contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260130P00693000,2025-12-29 15:20:06+00:00,693.0,11.31,11.25,11.28,1.1100006,10.8823595,4.0,381,0.09075311111450196,True,REGULAR,USD
SPY260130P00694000,2025-12-29 14:50:37+00:00,694.0,11.6,11.73,11.92,1.1500006,11.00479,4.0,244,0.09058526611328124,True,REGULAR,USD
SPY260130P00695000,2025-12-29 16:39:35+00:00,695.0,12.55,12.23,12.4,1.71,15.774907,27.0,266,0.08800655654907227,True,REGULAR,USD
SPY260130P00696000,2025-12-29 16:51:04+00:00,696.0,12.86,12.78,12.95,1.5099993,13.303958,59.0,159,0.08597715789794924,True,REGULAR,USD
SPY260130P00697000,2025-12-29 15:31:49+00:00,697.0,13.25,13.36,13.57,1.3900003,11.720071,21.0,122,0.08454284606933596,True,REGULAR,USD
SPY260130P00698000,2025-12-23 14:58:00+00:00,698.0,15.33,13.89,14.12,0.0,0.0,2.0,28,0.08167422241210939,True,REGULAR,USD
SPY260130P00699000,2025-12-29 16:50:33+00:00,699.0,14.79,14.5,14.76,1.9499998,15.186914,15.0,16,0.07966008239746095,True,REGULAR,USD
SPY260130P00700000,2025-12-29 16:41:04+00:00,700.0,15.67,15.17,15.42,2.0900002,15.390281,56.0,354,0.07749335601806642,True,REGULAR,USD
SPY260130P00701000,2025-12-29 16:49:20+00:00,701.0,16.1,15.81,16.06,1.7600002,12.273363,7.0,24,0.07431955963134766,True,REGULAR,USD
SPY260130P00702000,2025-12-29 16:44:07+00:00,702.0,16.95,16.44,16.78,1.9900007,13.302144,31.0,17,0.07190869506835937,True,REGULAR,USD
SPY260130P00703000,2025-12-26 20:07:52+00:00,703.0,15.58,17.16,17.53,0.0,0.0,2.0,12,0.06940627868652345,True,REGULAR,USD
SPY260130P00704000,2025-12-29 14:39:20+00:00,704.0,17.1,17.89,18.27,1.1500006,7.2100353,18.0,21,0.06568317138671875,True,REGULAR,USD
SPY260130P00705000,2025-12-26 17:40:03+00:00,705.0,17.15,18.64,18.97,0.0,0.0,16.0,41,0.05872523315429688,True,REGULAR,USD
SPY260130P00706000,2025-12-23 14:58:11+00:00,706.0,21.02,19.42,19.81,0.0,0.0,2.0,3,0.053842469482421884,True,REGULAR,USD
SPY260130P00707000,2025-12-23 18:47:35+00:00,707.0,20.01,20.22,20.7,0.0,0.0,26.0,24,0.048105222167968746,True,REGULAR,USD
SPY260130P00708000,2025-12-23 19:57:56+00:00,708.0,20.7,21.04,21.52,0.0,0.0,172.0,92,1.0000000000000003e-05,True,REGULAR,USD
SPY260130P00709000,2025-12-24 16:34:43+00:00,709.0,19.79,21.85,22.38,0.0,0.0,3.0,163,1.0000000000000003e-05,True,REGULAR,USD
